gender,Frank,all,plagiarisms,Mrs.Radcliffes,saga,Seduction,Political,chapters,Shakespearean,anticipates,plagiarized,reductions,principal,touches,based,title,situations,ruin,father,French,CharlotteSmiths,Macbethian,only,Jacobin,under,terror,supernatural,bluebook,preGothic,horror,translations,recessive,terrors,THEHEROINE,procedures,picaresque,Parody,sentimental,settings,pleasures,mild,Orientalized,architecture,Lathoms,futuristic,tyrant,locale,emergent,Romance,journalistic,reverberations,satiric,Shocker,subspecies,clef,prototypical,monster,spectral,pseudohistorical,artificial,minimal,Rochean,attitudes,props,Sorcerer,Reeves,CharlotteSmith,scenery,THEITALIAN,various,Natural,Chapbook,nature,compilation,residual,highly,incident,free,key,represented,novelette,persecuted,Schocker,legend,Godwin,LARELIGIEUSE,Rauberromantik,search,didactit,Grotto,technical,many,Naturalized,didactic,roman,periodic,historical,social,Godwins,compressed,family,characterization,Irelands,explained,feelings,twin,WanderingJew,sadism,motif,noir,puzzlements,Gothics,caricature,from,horrific,to,varieties,satire,theme,Gothified,few,secret,combined,mysterious,Lebrun,prototype,Ruin,more,LONGSWORD,main,Novel,composite,FehmicCourt,satirizes,pseudohistory,OLDENGLISHBARON,recessant,Revolution,cases,Shelleys,tribunal,plagiarism,chapbook,German,science,straight,essays,serialized,thrillers,Schauerromantik,novella,history,Noir,ABBESS,is,Documentary,Ideas,high,villain,1798,gothic,imitation,in,prose,counterfeit,Apocalyptic,JohnMoores,titular,strains,Contemporized,romance,Mackenzies,abridgement,numerous,influences,visitations,several,1753,sham,Germanic,novels,novelists,appearances,containing,Roman,uses,Pigault,characters,Diderots,authentic,castle,types,a,Tale,short,natural,modes,Doppleganger,nationalistic,Raüberroman,no,loathsome,subplots,Pure,components,echoes,the,parody,entanglements,excessive,Reeve,heavily,domestic,primitive,nouvella,ideas,Richardsonian,Walpole,episodes,Maturins,ZELUCO,its,taken,Mrs.Radcliffe,1835,character,Smiths,actually,source,verse,Quest,Lewisite,categorized,has,transformation,Rauberroman,Shauerromantik,sublime,format,Spenserian,titling,early,Didactic,fusion,quest,five,effects,aborted,apparitional,Tower,Fiction,prominent,mystery,THERECESS,SophiaLees,Turret,Marginal,Ritterroman,with,incest,VeitWeber,epistolary,heroines,acoustic,Lelands,names,reactions,methods,secondary,witchcraft,some,THEMYSTERIESOFUDOLPHO,traits,OTRANTO,THEMONKs,passions,moralized,for,tales,content,Lewiss,moderated,motifs,Double,fragments,Sham,plotting,Picaresque,mode,Fehmic,theory,Semi,Schauerroman,combines,Gothicism,Historical,Mixed,by,Medieval,revolutionary,on,subdued,actual,locations,of,drama,digressive,Gothic,mixed,Comic,slightly,or,Prototypical,first,Story,features,naturalized,ST.IRVYNE,down,fantasy,appropriate,imitates,quality,reworked,Polemical,story,salient,revival,bears,tendencies,MANOFFEELING,shilling,fiction,attack,Monastic,philosophical,topographies,Epistolary,polemical,Sentimental,form,THEMONK,Serialized,becoming,but,Radcliffean,EMMELINE,Barretts,translation,Antoine,Udolphoesque,than,History,toned,Irish,romantic,intermittent,Domestic,scenes,devices,Sentimentalized,converted,Periodical,Fake,toward,landscapes,pulp,monastic,descriptions,and,Philosophical,sometimes,Anthology,THEABBESS,novel,influence,Vampire,an,sentimentalized,as,substantial,Combined,have,Vehmgericht,politics,domesticated,72page,anthology,variety,speculative,imitations,also,Otrantoesque,other,shocker,overtones,OLDMANORHOUSE,medievalism,residue,elements,multiple,qualities,maiden,Radcliffes,centered,THECASTLEOFOTRANTO,genealogical,involving,THEFATALREVENGE,variable,philosophic,segment,heroine,thriller,especially,burlesque,ROMANCEOFTHEFOREST,Radical,Charles,MELMOTHTHEWANDERER,sources,volumes,serious,Guilaume
f,1,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,Gothic,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chapbook,,,,,,,,,,,,,,,,,,,imitation,,,,,JohnMoores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZELUCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,of,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,imitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radcliffean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chapbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulp,monastic,,,,,,,,,,,,,,,,,,,,,,,,,,,shocker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,burlesque,,,,,,,,,
unknown,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,Gothic,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,8,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pseudohistory,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,of,,,Gothic,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,,,,,,
m,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
