Frank,Gothic Type,Author,Gender,Title,Year,No. from Tracy
8,Pure or high Gothic (terror mode with elements of pseudo-history),unsigned,unknown,THE APPARITION,1788,
340,"Pure or high Gothic (terror mode, satiric elements in the early chapters)",unsigned,unknown,"POWIS CASTLE: OR, ANECDOTES OF AN ANTIENT FAMILY",1788,
386,Sentimental fiction (features from Mackenzie’s MAN OF FEELING),unsigned,unknown,"THE SCHOOL FOR FATHERS: OR, THE VICTIM OF A CURSE",1788,
398,Sentimental Gothic (imitation of Reeve’s OLD ENGLISH BARON),unsigned,unknown,"SEYMOUR CASTLE: OR, THE HISTORY OF JULIA AND CECILIA",1789,
136,Gothified history,unsigned,unknown,GABRIELLE DE VERGY: AN HISTORICAL TALE,1790,
219,Gothified history (terror elements),unsigned,unknown,LADY JANE GREY: AN HISTORICAL TALE,1791,
55,Gothified history (imitation of OTRANTO),unsigned,unknown,THE CASTLE OF ST. VALLERY: AN ANCIENT STORY,1792,
121,Pure or high Gothic (terror mode),unsigned,unknown,"EMILY: OR, THE FATAL PROMISE, A NORTHERN TALE",1792,
372,Medieval Quest Gothic (Spenserian Gothic),unsigned,unknown,"THE ROCK OF MODREC: OR, THE LEGEND OF SIR ELTRAM, AN ETHICAL ROMANCE TRANSLATED FROM AN ANCIENT BRITISH MANUSCRIPT LATELY DISCOVERED AMONG THE RUINS OF AN ABBEY",1792,
11,"Pure or high Gothic (Radcliffean imitation, terror mode)",unsigned,unknown,ASHTON PRIORY,1793,
300,"Pure or high Gothic (Otrantoesque terror, horror modes)",unsigned,unknown,MORTIMORE CASTLE: A CAMBRIAN TALE,1793,
58,Pure or high Gothic (terror mode),unsigned,unknown,THE CAVERN OF DEATH: A MORAL TALE,1794,
72,Pure or high Gothic (horror mode),unsigned,unknown,"COUNT RODERIC'S CASTLE, OR, GOTHIC TIMES. A TALE",1794,18
162,Gothified History,unsigned,unknown,HARTLEBOURN CASTLE: A DESCRIPTIVE ENGLISH TALE,1794,
205,Combined Monastic Shocker and Roman Noir (terror mode),unsigned,unknown,"IVEY CASTLE: CONTAINING INTERESTING MEMOIRS OF TWO LADIES, LATE NUNS IN A FRENCH ABOLISHED CONVENT",1794,
345,Sham translation (Schauerromantik elements),C. R.,unknown,CASTLE ZITTAW: A GERMAN TALE,1794,
10,Gothified history,unsigned,unknown,ATVILLE CASTLE: AN HISTORICAL ROMANCE,1795,
155,Pure or high Gothic (terror mode),I. H.,unknown,"THE PHANTOMS OF THE CLOISTER: OR, THE MYSTERIOUS MANUSCRIPT",1795,
459,Marginal Gothic (imitation of Radcliffean landscapes),unsigned,unknown,WALDECK ABBEY,1795,
13,Pure or high Gothic (terror mode),unsigned,unknown,AUSTENBURN CASTLE,1796,
292,Gothified history,unsigned,unknown,"MONTFORD CASTLE: OR, THE KNIGHT OF THE WHITE ROSE, AN HISTORICAL ROMANCE OF THE ELEVENTH CENTURY",1796,
187,Sentimental Gothic (imitation of Smith’s OLD MANOR HOUSE),unsigned,unknown,THE HOUSE OF MARLEY,1797,
7,Pure or high Gothic (horror mode),unsigned,unknown,THE ANIMATED SKELETON,1798,
51,"Gothified history, imitation of Reeve's OLD ENGLISH BARON)",unsigned,unknown,"THE CASTLE OF BEESTON: OR, RANDOLPH, EARL OF CHESTER, AN HISTORICAL ROMANCE",1798,
299,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,MORT CASTLE: A GOTHIC STORY,1798,
385,"Serialized Gothic (terror mode, Radcliffean elements)",unsigned,unknown,"SCHABRACO, A ROMANCE",1798,
57,Gothic chapbook (prominent Radcliffean elements),unsigned,unknown,"THE CASTLES OF MONTREUIL AND BARRE: OR, THE HISTORIES OF THE MARQUIS LE BRUN AND THE BARON LA MARCHE, THE LATE INHABITORS AND PROPRIETORS OF THE TWO CASTLES. A GOTHIC STORY",1799,
208,Serialized Gothic nouvella (aborted),Juvenis,unknown,THE CASTLE ON THE CLIFT,1799,
215,Gothified history (family saga),"Kendall, A.",unknown,"THE CASTLE ON THE ROCK: OR, THE MEMOIRS OF THE ELDERLAND FAMILY",1799,
293,Romance of the ruin (terror mode),unsigned,unknown,"MONTROSE: OR, THE GOTHIC RUIN",1799,
50,Pure or high Gothic (horror mode),unsigned,unknown,"THE CASTLE DE WARRENNE: A ROMANCE. LADY'S MONTHLY MUSEUM, OR POLITE REPOSITORY OF AMUSEMENT AND INSTRUCTION",1800,
192,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,"HUMBERT CASTLE: OR, THE ROMANCE OF THE RHONE",1800,
241,Gothic chapbook (Shauerromantik elements),"Legge, F.",unknown,"THE SPECTRE CHIEF, OR, THE BLOOD-STAINED BANNER. AN ANCIENT ROMANCE. With THE SPECTRE CHIEF is bound BARON FITZALLAN",1800,93
287,Gothified translation (from a French romance by Charles-Antoine-Guilaume Pigault-Lebrun (1753-1835),unsigned,unknown,"THE MONK OF THE GROTTO: OR, EUGENIO AND VIRGINIA",1800,
303,"Gothic bluebook (terror, horror modes)",unsigned,unknown,"THE MYSTERIOUS BRIDE: OR, THE STATUE SPECTRE",1800,
304,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,"THE MYSTERIOUS PENITENT: OR, THE NORMAN CHATEAU, A ROMANCE",1800,
307,Gothic chapbook,unsigned,unknown,"THE MYSTIC TOWER: OR, VILLAINY PUNISHED",1800,
344,Gothic chapbook (terror mode),unsigned,unknown,"THE PROPHETIC WARNING: OR, THE CASTLE OF LINDENDORFF",1800,
381,Romance of the Ruin (horror mode),unsigned,unknown,THE RUINS OF ST. OSWALD,1800,
433,Gothic Chapbook,unsigned,unknown,"THE SPECTRE MOTHER: OR, THE HAUNTED TOWER",1800,
449,Gothic chapbook (composite plagiarism from multiple Gothic sources),unsigned,unknown,"THEODORE AND EMMA: OR, THE ITALIAN BANDIT",1800,
118,Gothic chapbook,unsigned,unknown,"EDMUND AND ALBINA: OR, GOTHIC TIMES",1801,
253,"Pure or high Gothic (terror mode, monastic shocker elements)",unsigned,unknown,"LUSIGNAN: OR, THE ABBAYE OF LA TRAPPE",1801,
,(not indexed),"Sarrett, H.J.",unknown,"KOENIGSMARK, THE ROBBER, OR, THE TERROR OF BOHEMIA",1801,158
