,total f,total m,total unk,total total
ABBESS,1,0,0,1
aborted,0,0,1,1
acoustic,0,1,0,1
authentic;actual;actually,1,2,0,3
Anthology;anthology,1,2,0,3
Antoine,0,0,1,1
Apocalyptic,1,0,0,1
appearances,0,0,1,1
architecture,0,1,0,1
Polemical;polemical;attack,1,5,0,6
Barretts,1,0,0,1
bluebook,4,0,9,13
castle,1,0,0,1
categorized,1,0,0,1
centered,1,0,0,1
Chapbook;chapbook,9,12,45,66
chapters,0,0,1,1
character;characterization;characters,3,7,0,10
Charles,0,0,1,1
containing,0,1,0,1
combined;Combined;combines;compilation;composite,4,1,5,10
Parody;parody;burlesque;caricature;satire;satiric;satirizes;Comic,5,8,3,16
effects;elements;features;attitudes;episodes;intermittent;methods;overtones;periodic;qualities;scenes;situations;touches;traits;tendencies;strains;devices;Semi;secondary;components,64,49,20,133
Contemporized,0,1,0,1
content,1,0,0,1
descriptions,0,1,0,1
domestic;Domestic;domesticated,27,14,2,43
Doppleganger;Double,0,1,0,1
drama,1,1,0,2
EMMELINE,1,0,0,1
entanglements,1,0,0,1
epistolary;Epistolary,1,1,0,2
essays,0,1,0,1
explained;Natural;natural;Naturalized;naturalized,5,4,0,9
family,0,0,1,1
fantasy,1,2,0,3
father,1,0,0,1
Fehmic;FehmicCourt,0,1,1,2
Fiction;fiction,21,15,2,38
form;format,1,2,0,3
fragments,0,1,0,1
French,2,0,1,3
futuristic,1,0,0,1
genealogical,3,0,0,3
German;Germanic,2,3,0,5
Godwin;Godwins,0,2,0,2
gothic;Gothic,177,127,108,412
Gothified,33,26,12,71
Gothicism,2,1,0,3
Gothics,1,3,1,5
Grotto,3,2,1,6
Guilaume,0,0,1,1
heroine;heroines,2,0,0,2
Pure;high,85,70,38,193
historical;Historical;history;History,35,31,12,78
horrific;horror,17,22,14,53
Ideas;ideas,0,2,0,2
imitates;imitation;imitations,31,15,18,64
incest,0,1,0,1
incident,0,1,0,1
Irelands,1,1,0,2
Irish,0,1,0,1
Jacobin,0,1,0,1
JohnMoores,0,0,1,1
journalistic;Documentary,0,2,0,2
main,1,0,0,1
key,1,0,0,1
LARELIGIEUSE,1,0,0,1
LASTWORD,0,0,0,0
Lathoms,0,0,1,1
Lebrun,0,0,1,1
legend,0,2,0,2
Lelands,0,1,0,1
Lewisite;Lewiss,1,0,1,2
loathsome,0,1,0,1
LONGSWORD,0,1,0,1
Macbethian,0,0,1,1
Mackenzies,0,0,1,1
maiden,1,1,0,2
MANOFFEELING,0,0,1,1
Maturins,0,1,0,1
Medieval;medievalism,1,0,1,2
MELMOTHTHEWANDERER,0,1,0,1
mode,63,39,33,135
moderated,1,0,0,1
modes,9,10,7,26
Monastic;monastic,9,9,5,23
monster,0,1,0,1
didactic;Didactic;didactit;moralized,6,6,0,12
motif;motifs,2,2,0,4
mysterious,1,0,0,1
mystery,0,1,0,1
names,0,1,0,1
nationalistic,1,0,0,1
nature,0,1,0,1
noir;Noir,0,1,1,2
novella;nouvella;novelette,0,0,3,3
Novel;novel;novels,6,4,1,11
novelists,0,1,0,1
OLDENGLISHBARON,0,1,4,5
OLDMANORHOUSE,0,0,1,1
Orientalized,2,3,0,5
other,0,2,0,2
OTRANTO;Otrantoesque,1,2,4,7
passions;feelings,1,1,0,2
persecuted,0,1,0,1
philosophic;philosophical;Philosophical,2,4,0,6
picaresque;Picaresque,2,3,0,5
Pigault,0,0,1,1
plagiarism;plagiarisms;plagiarized,0,0,6,6
pleasures,1,0,0,1
plotting,0,0,1,1
Political;politics,1,2,1,4
principal,0,0,1,1
procedures,1,0,0,1
prominent,1,1,1,3
props,1,0,0,1
prose,0,1,0,1
early;emergent;anticipates;first;preGothic;primitive;prototype;prototypical;Prototypical,4,7,1,12
pseudohistorical;pseudohistory,0,1,1,2
pulp,0,0,1,1
puzzlements,1,0,0,1
quality,1,1,1,3
Quest;quest,0,2,1,3
Radcliffean;Radcliffes;Mrs.Radcliffe;Mrs.Radcliffes,35,7,12,54
Radical;Revolution;revolutionary,1,2,0,3
Rauberroman;Rauberroman;Rauberromantik,0,5,4,9
reactions,0,1,0,1
Reeve;Reeves,1,1,4,6
represented,0,1,0,1
abridgement;compressed;reductions,1,0,3,4
influence;influences,1,2,0,3
recessant;recessive;residual;residue;reverberations; echoes,6,1,0,7
revival,1,0,1,2
Richardsonian,1,0,0,1
Ritterroman,0,2,0,2
Rochean,1,0,0,1
roman;Roman;clef,2,1,1,4
Romance;romance;romantic,5,4,4,13
ROMANCEOFTHEFOREST,1,0,1,2
ruin;Ruin,4,2,3,9
sadism,0,1,0,1
saga,0,0,1,1
salient,0,1,0,1
Schauerroman;Schauerromantik;Shauerromantik,3,12,3,18
science,2,0,0,2
search,1,0,0,1
secret,0,1,1,2
Seduction,0,1,0,1
segment,0,1,0,1
sentimental;Sentimental;Sentimentalized;sentimentalized,51,5,10,66
serialized;Serialized;Periodical,2,1,6,9
serious,1,0,0,1
Shakespearean,0,1,1,2
Shelleys,0,0,1,1
shilling,0,0,5,5
Shocker;shocker;Schocker,9,8,10,27
short,0,0,1,1
CharlotteSmith;CharlotteSmiths;Smiths,4,0,1,5
social,1,0,0,1
SophiaLees,1,1,0,2
Sorcerer,0,1,0,1
based;from;source;sources;taken,3,6,8,17
Fake;counterfeit;sham;Sham;artificial,4,2,2,8
spectral;apparitional,1,1,1,3
speculative,0,1,0,1
Spenserian,0,0,1,1
ST.IRVYNE,0,0,1,1
Story;story,0,3,0,3
straight,1,0,0,1
sublime,1,0,0,1
subplots;subspecies,1,1,0,2
supernatural,5,3,0,8
Tale;tales,1,1,0,2
technical,0,1,0,1
terror;terrors,85,52,34,171
THEABBESS,0,1,0,1
THECASTLEOFOTRANTO,1,2,1,4
THEFATALREVENGE,0,1,0,1
THEHEROINE,1,0,0,1
THEITALIAN,4,0,0,4
theme,0,1,0,1
THEMONK;THEMONKs,2,6,3,11
THEMYSTERIESOFUDOLPHO;Udolphoesque,1,0,1,2
theory,0,1,0,1
THERECESS,1,1,0,2
thriller;thrillers,0,0,2,2
title;titling;titular,2,3,0,5
toned,1,0,0,1
settings;locale;locations;landscapes;scenery;topographies,4,5,2,11
topographies,1,0,0,1
Tower,0,1,1,2
reworked;converted,1,1,0,2
transformation,0,1,0,1
translation;translations,1,4,3,8
tribunal,0,1,0,1
Turret,1,0,0,1
twin,0,1,0,1
types,0,1,0,1
tyrant,1,0,0,1
substantial;numerous;excessive;heavily;highly;many;several,8,7,2,17
few;Marginal;mild;minimal;no;slightly;some;sometimes;subdued,12,5,2,19
Vampire,0,1,0,1
Mixed;mixed;multiple;fusion;variable;varieties;variety;various,7,6,2,15
Vehmgericht,0,1,0,1
VeitWeber,0,1,0,1
verse,0,2,0,2
villain,0,2,0,2
visitations,0,1,0,1
volumes,1,0,0,1
Walpole,1,0,0,1
WanderingJew,0,1,0,1
witchcraft,0,1,0,1
ZELUCO,0,0,1,1
