docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,
173,67-m.txt,100,0.503,83,0.066,,,,,,,,,,
179,72-m.txt,100,0.16,46,0.106,68,0.074,7,0.064,90,0.053,,,,
206,97-m.txt,98,0.371,59,0.061,,,,,,,,,,
62,154-f.txt,97,0.327,,,,,,,,,,,,
17,113-f.txt,96,0.216,48,0.074,75,0.068,5,0.054,,,,,,
48,141-f.txt,96,0.235,46,0.148,82,0.074,22,0.062,,,,,,
79,17-u.txt,96,0.127,31,0.079,22,0.063,8,0.063,,,,,,
101,19-m.txt,96,0.254,84,0.105,,,,,,,,,,
74,165-f.txt,95,0.44,,,,,,,,,,,,
116,202-f.txt,94,0.426,66,0.115,92,0.082,,,,,,,,
31,126-f.txt,93,0.218,52,0.126,99,0.069,,,,,,,,
156,51-m.txt,93,0.428,46,0.072,,,,,,,,,,
88,178-f.txt,92,0.175,9,0.136,85,0.107,59,0.097,25,0.058,1,0.058,,
125,23-m.txt,92,0.234,85,0.106,40,0.064,33,0.064,,,,,,
202,93-u.txt,92,0.184,81,0.112,25,0.071,68,0.051,64,0.051,1,0.051,,
89,179-f.txt,91,0.095,68,0.071,10,0.071,67,0.06,,,,,,
133,30-m.txt,91,0.256,92,0.094,59,0.085,46,0.06,12,0.051,,,,
177,70-m.txt,91,0.46,,,,,,,,,,,,
20,116-u.txt,90,0.094,86,0.094,12,0.094,25,0.063,67,0.052,34,0.052,13,0.052
13,11-f.txt,89,0.318,66,0.077,64,0.067,,,,,,,,
59,151-f.txt,89,0.094,48,0.094,67,0.082,76,0.071,,,,,,
82,172-f.txt,89,0.205,92,0.068,82,0.063,71,0.057,,,,,,
93,182-f.txt,88,0.316,26,0.069,,,,,,,,,,
106,194-m.txt,88,0.351,21,0.058,85,0.052,,,,,,,,
111,199-f.txt,88,0.268,82,0.083,72,0.077,85,0.054,,,,,,
121,207-f.txt,87,0.19,92,0.059,64,0.054,,,,,,,,
131,29-m.txt,87,0.296,92,0.074,63,0.053,,,,,,,,
195,87-m.txt,87,0.096,9,0.078,92,0.054,48,0.054,,,,,,
126,24-m.txt,86,0.372,92,0.058,,,,,,,,,,
