docId,filename,top topics, and contribution to doc ...
1,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/.DS_Store,1,1.000
2,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/1-m.txt,1,1.000
3,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/10-m.txt,1,1.000
4,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/100-m.txt,1,1.000
5,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/101-m.txt,1,1.000
6,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/102-m.txt,1,1.000
7,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/103-m.txt,1,1.000
8,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/104-m.txt,1,1.000
9,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/105-f.txt,1,1.000
10,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/106-f.txt,1,1.000
11,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/107-m.txt,1,1.000
12,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/108-m.txt,1,1.000
13,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/109-m.txt,1,1.000
14,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/11-f.txt,1,1.000
15,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/110-m.txt,1,1.000
16,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/111-m.txt,1,1.000
17,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/112-f.txt,1,1.000
18,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/113-f.txt,1,1.000
19,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/114-f.txt,1,1.000
20,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/115-f.txt,1,1.000
21,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/116-u.txt,1,1.000
22,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/117-m.txt,1,1.000
23,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/118-m.txt,1,1.000
24,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/119-m.txt,1,1.000
25,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/12-m.txt,1,1.000
26,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/120-m.txt,1,1.000
27,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/121-m.txt,1,1.000
28,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/122-m.txt,1,1.000
29,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/123-m.txt,1,1.000
30,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/124-f.txt,1,1.000
31,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/125-f-WOLFENBACH.txt,1,1.000
32,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/126-f.txt,1,1.000
33,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/127-f.txt,1,1.000
34,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/128-f.txt,1,1.000
35,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/129-m.txt,1,1.000
36,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/13-m.txt,1,1.000
37,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/130-m.txt,1,1.000
38,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/131-m.txt,1,1.000
39,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/132-f.txt,1,1.000
40,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/133-f.txt,1,1.000
41,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/134-f.txt,1,1.000
42,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/135-f.txt,1,1.000
43,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/136-f.txt,1,1.000
44,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/137-f.txt,1,1.000
45,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/138-f.txt,1,1.000
46,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/139-f.txt,1,1.000
47,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/14-m.txt,1,1.000
48,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/140-f.txt,1,1.000
