topicId,rank,docId,filename
1,1,62,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/154-f.txt
1,2,156,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/51-m.txt
1,3,33,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/128-f.txt
1,4,50,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/143-f.txt
1,5,157,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/52-f.txt
1,6,54,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/147-f.txt
1,7,170,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/64-f.txt
1,8,31,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/126-f.txt
1,9,155,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/50-m.txt
1,10,144,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/40-f.txt
1,11,147,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/43-m.txt
1,12,60,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/152-f.txt
1,13,187,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/8-f.txt
1,14,131,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/29-m.txt
1,15,107,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/195-f.txt
1,16,49,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/142-f.txt
1,17,18,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/114-f.txt
1,18,71,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/162-f.txt
1,19,9,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/106-f.txt
1,20,206,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/97-m.txt
1,21,160,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/55-m.txt
1,22,61,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/153-f.txt
1,23,16,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/112-f.txt
1,24,15,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/111-m.txt
1,25,203,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/94-m.txt
1,26,194,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/86-m.txt
1,27,192,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/84-f.txt
1,28,189,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/81-f.txt
1,29,162,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/57-m.txt
1,30,139,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/36-f.txt
1,31,98,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/187-f.txt
1,32,80,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/170-f.txt
1,33,55,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/148-f.txt
1,34,34,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/129-m.txt
1,35,6,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/103-m.txt
1,36,190,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/82-f.txt
1,37,176,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/7-f.txt
1,38,171,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/65-f.txt
1,39,159,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/54-m.txt
1,40,153,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/49-m.txt
1,41,114,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/200-f.txt
1,42,56,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/149-f.txt
1,43,47,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/140-f.txt
1,44,38,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/132-f.txt
1,45,186,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/79-m.txt
1,46,174,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/68-m.txt
1,47,164,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/59-m.txt
1,48,161,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/56-m.txt
1,49,151,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/47-m.txt
1,50,118,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/204-m.txt
1,51,117,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/203-f.txt
1,52,88,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/178-f.txt
1,53,85,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/175-f.txt
1,54,68,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/16-f.txt
1,55,57,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/15-f.txt
1,56,36,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/130-m.txt
1,57,32,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/127-f.txt
1,58,21,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/117-m.txt
1,59,3,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/100-m.txt
1,60,197,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/89-m.txt
1,61,193,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/85-m.txt
1,62,177,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/70-m.txt
1,63,145,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/41-f.txt
1,64,140,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/37-f.txt
1,65,133,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/30-m.txt
1,66,125,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/23-m.txt
1,67,122,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/208-f.txt
