docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,,,,,,,,,
14,110-m.txt,15,0.181,6,0.164,9,0.121,5,0.078,13,0.069,7,0.069,11,0.06,2,0.06,4,0.052,,,,
20,116-u.txt,15,0.208,14,0.104,13,0.094,10,0.083,9,0.083,7,0.083,6,0.083,5,0.073,3,0.063,2,0.052,,
36,130-m.txt,15,0.378,14,0.106,12,0.072,3,0.067,11,0.061,6,0.061,10,0.056,2,0.05,,,,,,
39,133-f.txt,15,0.311,14,0.111,5,0.078,10,0.067,7,0.067,4,0.067,12,0.056,,,,,,,,
44,138-f.txt,15,0.204,9,0.194,12,0.107,3,0.102,14,0.082,6,0.071,1,0.056,,,,,,,,
76,167-m.txt,15,0.423,14,0.082,11,0.082,4,0.062,2,0.052,1,0.052,,,,,,,,,,
87,177-m.txt,15,0.347,7,0.097,13,0.092,4,0.082,14,0.071,10,0.066,,,,,,,,,,
105,193-m.txt,15,0.363,10,0.113,3,0.105,8,0.065,7,0.056,,,,,,,,,,,,
117,203-f.txt,15,0.248,8,0.231,13,0.145,2,0.111,5,0.068,4,0.051,,,,,,,,,,
128,26-m.txt,15,0.14,3,0.123,8,0.105,6,0.105,4,0.105,9,0.088,11,0.07,13,0.053,10,0.053,7,0.053,2,0.053
136,33-m.txt,15,0.381,7,0.074,11,0.072,13,0.07,3,0.064,10,0.055,5,0.053,4,0.053,,,,,,
140,37-f.txt,15,0.393,12,0.1,11,0.093,14,0.071,2,0.071,1,0.071,,,,,,,,,,
163,58-m.txt,15,0.376,11,0.119,7,0.077,5,0.062,13,0.057,4,0.057,,,,,,,,,,
183,76-m.txt,15,0.356,11,0.122,14,0.09,3,0.081,1,0.068,9,0.063,,,,,,,,,,
202,93-u.txt,15,0.214,3,0.153,6,0.133,9,0.122,1,0.082,14,0.071,,,,,,,,,,
208,99-m.txt,15,0.217,7,0.13,6,0.087,14,0.081,13,0.081,11,0.068,1,0.062,,,,,,,,
23,119-m.txt,14,0.352,7,0.157,8,0.074,3,0.07,6,0.064,10,0.057,,,,,,,,,,
28,123-m.txt,14,0.144,12,0.144,6,0.11,3,0.082,2,0.082,9,0.075,15,0.068,11,0.068,,,,,,
30,125-f-WOLFENBACH.txt,14,0.221,15,0.188,3,0.094,13,0.083,2,0.077,6,0.061,12,0.055,5,0.055,,,,,,
32,127-f.txt,14,0.257,15,0.252,2,0.079,6,0.059,12,0.054,,,,,,,,,,,,
62,154-f.txt,14,0.373,12,0.16,10,0.124,1,0.056,11,0.051,,,,,,,,,,,,
68,16-f.txt,14,0.152,2,0.11,10,0.097,6,0.097,1,0.09,9,0.083,5,0.076,4,0.076,7,0.055,,,,
116,202-f.txt,14,0.443,3,0.115,8,0.098,9,0.082,7,0.082,,,,,,,,,,,,
147,43-m.txt,14,0.166,7,0.142,15,0.129,13,0.092,11,0.088,6,0.088,12,0.068,3,0.061,8,0.051,,,,
155,50-m.txt,14,0.181,2,0.176,4,0.122,12,0.092,11,0.076,9,0.071,8,0.067,,,,,,,,
164,59-m.txt,14,0.351,8,0.098,13,0.084,12,0.076,6,0.071,3,0.071,,,,,,,,,,
169,63-f.txt,14,0.331,10,0.231,13,0.074,6,0.074,3,0.058,,,,,,,,,,,,
197,89-m.txt,14,0.364,10,0.154,12,0.091,7,0.063,5,0.063,1,0.056,,,,,,,,,,
